Symbol,Expression Names
NOC,Pos on D:Neg on D:V
ROP,Pos on D:Neg on D:V
LHX,Pos on D:Neg on D:V
JCI,Pos on D:Neg on D:V
TT,Pos on D:Neg on D:V
PH,Pos on D:Neg on D:V
CMI,Pos on D:Neg on D:V
GD,Pos on D:Neg on D:V
INFO,Pos on D:Neg on D:V
CARR,Pos on D:Neg on D:V
TDG,Pos on D:Neg on D:V
VRSK,Pos on D:Neg on D:V
CTAS,Pos on D:Neg on D:V
PCAR,Pos on D:Neg on D:V
ROK,Pos on D:Neg on D:V
AME,Pos on D:Neg on D:V
FAST,Pos on D:Neg on D:V
SWK,Pos on D:Neg on D:V
LUV,Pos on D:Neg on D:V
OTIS,Pos on D:Neg on D:V
DAL,Pos on D:Neg on D:V
CPRT,Pos on D:Neg on D:V
FTV,Pos on D:Neg on D:V
EFX,Pos on D:Neg on D:V
RSG,Pos on D:Neg on D:V
KSU,Pos on D:Neg on D:V
XYL,Pos on D:Neg on D:V
ODFL,Pos on D:Neg on D:V
URI,Pos on D:Neg on D:V
DOV,Pos on D:Neg on D:V
GWW,Pos on D:Neg on D:V
IR,Pos on D:Neg on D:V
EXPD,Pos on D:Neg on D:V
IEX,Pos on D:Neg on D:V
J,Pos on D:Neg on D:V
WAB,Pos on D:Neg on D:V
MAS,Pos on D:Neg on D:V
TDY,Pos on D:Neg on D:V
CHRW,Pos on D:Neg on D:V
UAL,Pos on D:Neg on D:V
JBHT,Pos on D:Neg on D:V
FBHS,Pos on D:Neg on D:V
TXT,Pos on D:Neg on D:V
ALLE,Pos on D:Neg on D:V
HWM,Pos on D:Neg on D:V
PWR,Pos on D:Neg on D:V
SNA,Pos on D:Neg on D:V
AAL,Pos on D:Neg on D:V
PNR,Pos on D:Neg on D:V
ROL,Pos on D:Neg on D:V
AOS,Pos on D:Neg on D:V
NLSN,Pos on D:Neg on D:V
RHI,Pos on D:Neg on D:V
HII,Pos on D:Neg on D:V
ALK,Pos on D:Neg on D:V
FLS,Pos on D:Neg on D:V
LIN,Pos on D:Neg on D:V
APD,Pos on D:Neg on D:V
SHW,Pos on D:Neg on D:V
DD,Pos on D:Neg on D:V
ECL,Pos on D:Neg on D:V
NEM,Pos on D:Neg on D:V
FCX,Pos on D:Neg on D:V
DOW,Pos on D:Neg on D:V
PPG,Pos on D:Neg on D:V
CTVA,Pos on D:Neg on D:V
BLL,Pos on D:Neg on D:V
LYB,Pos on D:Neg on D:V
VMC,Pos on D:Neg on D:V
IP,Pos on D:Neg on D:V
ALB,Pos on D:Neg on D:V
MLM,Pos on D:Neg on D:V
AMCR,Pos on D:Neg on D:V
NUE,Pos on D:Neg on D:V
CE,Pos on D:Neg on D:V
FMC,Pos on D:Neg on D:V
EMN,Pos on D:Neg on D:V
PKG,Pos on D:Neg on D:V
AVY,Pos on D:Neg on D:V
IFF,Pos on D:Neg on D:V
WRK,Pos on D:Neg on D:V
MOS,Pos on D:Neg on D:V
CF,Pos on D:Neg on D:V
SEE,Pos on D:Neg on D:V
AMT,Pos on D:Neg on D:V
PLD,Pos on D:Neg on D:V
CCI,Pos on D:Neg on D:V
EQIX,Pos on D:Neg on D:V
DLR,Pos on D:Neg on D:V
PSA,Pos on D:Neg on D:V
SBAC,Pos on D:Neg on D:V
SPG,Pos on D:Neg on D:V
WELL,Pos on D:Neg on D:V
WY,Pos on D:Neg on D:V
AVB,Pos on D:Neg on D:V
O,Pos on D:Neg on D:V
CBRE,Pos on D:Neg on D:V
ARE,Pos on D:Neg on D:V
EQR,Pos on D:Neg on D:V
VTR,Pos on D:Neg on D:V
PEAK,Pos on D:Neg on D:V
ESS,Pos on D:Neg on D:V
DRE,Pos on D:Neg on D:V
MAA,Pos on D:Neg on D:V
EXR,Pos on D:Neg on D:V
BXP,Pos on D:Neg on D:V
UDR,Pos on D:Neg on D:V
HST,Pos on D:Neg on D:V
IRM,Pos on D:Neg on D:V
REG,Pos on D:Neg on D:V
KIM,Pos on D:Neg on D:V
FRT,Pos on D:Neg on D:V
VNO,Pos on D:Neg on D:V
SLG,Pos on D:Neg on D:V
AAPL,Pos on D:Neg on D:V
MSFT,Pos on D:Neg on D:V
V,Pos on D:Neg on D:V
NVDA,Pos on D:Neg on D:V
MA,Pos on D:Neg on D:V
PYPL,Pos on D:Neg on D:V
ADBE,Pos on D:Neg on D:V
INTC,Pos on D:Neg on D:V
CRM,Pos on D:Neg on D:V
CSCO,Pos on D:Neg on D:V
AVGO,Pos on D:Neg on D:V
QCOM,Pos on D:Neg on D:V
ACN,Pos on D:Neg on D:V
TXN,Pos on D:Neg on D:V
ORCL,Pos on D:Neg on D:V
IBM,Pos on D:Neg on D:V
AMD,Pos on D:Neg on D:V
NOW,Pos on D:Neg on D:V
INTU,Pos on D:Neg on D:V
MU,Pos on D:Neg on D:V
AMAT,Pos on D:Neg on D:V
FIS,Pos on D:Neg on D:V
LRCX,Pos on D:Neg on D:V
ADP,Pos on D:Neg on D:V
ADSK,Pos on D:Neg on D:V
FISV,Pos on D:Neg on D:V
GPN,Pos on D:Neg on D:V
ADI,Pos on D:Neg on D:V
CTSH,Pos on D:Neg on D:V
KLAC,Pos on D:Neg on D:V
TEL,Pos on D:Neg on D:V
APH,Pos on D:Neg on D:V
SNPS,Pos on D:Neg on D:V
MCHP,Pos on D:Neg on D:V
CDNS,Pos on D:Neg on D:V
XLNX,Pos on D:Neg on D:V
HPQ,Pos on D:Neg on D:V
ANSS,Pos on D:Neg on D:V
PAYX,Pos on D:Neg on D:V
MSI,Pos on D:Neg on D:V
GLW,Pos on D:Neg on D:V
SWKS,Pos on D:Neg on D:V
ENPH,Pos on D:Neg on D:V
KEYS,Pos on D:Neg on D:V
MXIM,Pos on D:Neg on D:V
FLT,Pos on D:Neg on D:V
ZBRA,Pos on D:Neg on D:V
TER,Pos on D:Neg on D:V
PAYC,Pos on D:Neg on D:V
QRVO,Pos on D:Neg on D:V
VRSN,Pos on D:Neg on D:V
FTNT,Pos on D:Neg on D:V
CDW,Pos on D:Neg on D:V
BR,Pos on D:Neg on D:V
TYL,Pos on D:Neg on D:V
AKAM,Pos on D:Neg on D:V
