Symbol,Name,Weight,Industry,Shares Held,SPDR Fund
DISH,DISH Network Corporation Class A,0.759445,Media,2507303,XLC
FOX,Fox Corporation Class B,0.527448,Media,1595448,XLC
NWSA,News Corporation Class A,0.524433,Media,3818366,XLC
DISCA,Discovery Inc. Class A,0.479267,Media,1553203,XLC
NWS,News Corporation Class B,0.16257,Media,1196750,XLC
XOM,Exxon Mobil Corporation,25.684628,Oil Gas & Consumable Fuels,44422240,XLE
CVX,Chevron Corporation,23.333227,Oil Gas & Consumable Fuels,23407934,XLE
KMI,Kinder Morgan Inc Class P,5.194875,Oil Gas & Consumable Fuels,25618128,XLE
EOG,EOG Resources Inc.,4.858585,Oil Gas & Consumable Fuels,7651300,XLE
COP,ConocoPhillips,4.331235,Oil Gas & Consumable Fuels,9596395,XLE
PSX,Phillips 66,4.120638,Oil Gas & Consumable Fuels,5325168,XLE
SLB,Schlumberger NV,3.639082,Energy Equipment & Services,15428119,XLE
WMB,Williams Companies Inc.,3.267666,Oil Gas & Consumable Fuels,15940816,XLE
VLO,Valero Energy Corporation,3.238917,Oil Gas & Consumable Fuels,5400869,XLE
MPC,Marathon Petroleum Corporation,2.609317,Oil Gas & Consumable Fuels,8539720,XLE
PXD,Pioneer Natural Resources Company,2.454875,Oil Gas & Consumable Fuels,2178650,XLE
OXY,Occidental Petroleum Corporation,2.093012,Oil Gas & Consumable Fuels,11748863,XLE
OKE,ONEOK Inc.,1.95763,Oil Gas & Consumable Fuels,5432783,XLE
CXO,Concho Resources Inc.,1.848596,Oil Gas & Consumable Fuels,2644012,XLE
HES,Hess Corporation,1.81048,Oil Gas & Consumable Fuels,3406382,XLE
BKR,Baker Hughes Company Class A,1.466054,Energy Equipment & Services,8547049,XLE
COG,Cabot Oil & Gas Corporation,1.394651,Oil Gas & Consumable Fuels,5364930,XLE
HAL,Halliburton Company,1.112166,Energy Equipment & Services,11544789,XLE
NOV,National Oilwell Varco Inc.,0.909599,Energy Equipment & Services,5074497,XLE
FANG,Diamondback Energy Inc.,0.793676,Oil Gas & Consumable Fuels,2119336,XLE
HFC,HollyFrontier Corporation,0.669929,Oil Gas & Consumable Fuels,1952833,XLE
MRO,Marathon Oil Corporation,0.647947,Oil Gas & Consumable Fuels,10520644,XLE
FTI,TechnipFMC Plc,0.640139,Energy Equipment & Services,5526896,XLE
DVN,Devon Energy Corporation,0.578267,Oil Gas & Consumable Fuels,5089649,XLE
NBL,Noble Energy Inc.,0.516949,Oil Gas & Consumable Fuels,6290537,XLE
APA,Apache Corporation,0.391869,Oil Gas & Consumable Fuels,4945511,XLE
HP,Helmerich & Payne Inc.,0.370501,Energy Equipment & Services,1426249,XLE
BRKB,Berkshire Hathaway Inc. Class B,15.945241,Diversified Financial Services,12238934,XLF
JPM,JPMorgan Chase & Co.,12.463251,Banks,19625252,XLF
BAC,Bank of America Corp,7.359386,Banks,50654616,XLF
WFC,Wells Fargo & Company,4.886223,Banks,24081736,XLF
C,Citigroup Inc.,3.884781,Banks,13660351,XLF
CME,CME Group Inc. Class A,2.514308,Capital Markets,2242310,XLF
SPGI,S&P Global Inc.,2.359883,Capital Markets,1529157,XLF
AXP,American Express Company,2.326557,Consumer Finance,4198482,XLF
GS,Goldman Sachs Group Inc.,2.162554,Capital Markets,1993910,XLF
CB,Chubb Limited,2.146531,Insurance,2835712,XLF
USB,U.S. Bancorp,2.067388,Banks,8893023,XLF
PGR,Progressive Corporation,1.9562,Insurance,3657978,XLF
MMC,Marsh & McLennan Companies Inc.,1.946018,Insurance,3157796,XLF
BLK,BlackRock Inc.,1.941313,Capital Markets,737847,XLF
ICE,Intercontinental Exchange Inc.,1.871675,Capital Markets,3484214,XLF
PNC,PNC Financial Services Group Inc.,1.776524,Banks,2741552,XLF
TFC,Truist Financial Corporation,1.732267,Banks,8391246,XLF
MS,Morgan Stanley,1.72005,Capital Markets,7696904,XLF
AON,Aon plc,1.712666,Insurance,1465026,XLF
