Symbol,Name,Weight,Industry,Shares Held,SPDR Fund
ETFC,E*TRADE Financial Corporation,0.309793,Capital Markets,1413717,XLF
GL,Globe Life Inc.,0.291283,Insurance,623364,XLF
AIZ,Assurant Inc.,0.284165,Insurance,379510,XLF
PBCT,People's United Financial Inc.,0.238975,Banks,2779359,XLF
BEN,Franklin Resources Inc.,0.214608,Capital Markets,1745543,XLF
ZION,Zions Bancorporation N.A.,0.206448,Banks,1066918,XLF
CMA,Comerica Incorporated,0.1982,Banks,902156,XLF
LNC,Lincoln National Corporation,0.173049,Insurance,1241209,XLF
IVZ,Invesco Ltd.,0.142432,Capital Markets,2329159,XLF
UNM,Unum Group,0.107656,Insurance,1290679,XLF
UNP,Union Pacific Corporation,5.441773,Road & Rail,2893402,XLI
HON,Honeywell International Inc.,5.101108,Industrial Conglomerates,2978117,XLI
LMT,Lockheed Martin Corporation,4.722996,Aerospace & Defense,1034611,XLI
MMM,3M Company,4.659151,Industrial Conglomerates,2396785,XLI
UPS,United Parcel Service Inc. Class B,4.42661,Air Freight & Logistics,2920662,XLI
UTX,United Technologies Corporation,4.179833,Aerospace & Defense,3381527,XLI
BA,Boeing Company,3.881653,Aerospace & Defense,2228415,XLI
GE,General Electric Company,3.667964,Industrial Conglomerates,36400676,XLI
CAT,Caterpillar Inc.,3.489283,Machinery,2303470,XLI
NOC,Northrop Grumman Corporation,2.907245,Aerospace & Defense,653234,XLI
CSX,CSX Corporation,2.547594,Road & Rail,3241169,XLI
DE,Deere & Company,2.405563,Machinery,1312299,XLI
ITW,Illinois Tool Works Inc.,2.374177,Machinery,1219061,XLI
WM,Waste Management Inc.,2.357382,Commercial Services & Supplies,1626728,XLI
LHX,L3Harris Technologies Inc,2.282574,Aerospace & Defense,921346,XLI
RTN,Raytheon Company,2.211655,Aerospace & Defense,1160675,XLI
NSC,Norfolk Southern Corporation,2.130762,Road & Rail,1086805,XLI
FDX,FedEx Corporation,1.843987,Air Freight & Logistics,1000454,XLI
ROP,Roper Technologies Inc.,1.819132,Industrial Conglomerates,433754,XLI
GD,General Dynamics Corporation,1.717038,Aerospace & Defense,976671,XLI
ETN,Eaton Corp. Plc,1.64164,Electrical Equipment,1723063,XLI
EMR,Emerson Electric Co.,1.594444,Electrical Equipment,2538855,XLI
VRSK,Verisk Analytics Inc,1.364807,Professional Services,682914,XLI
INFO,IHS Markit Ltd.,1.251374,Professional Services,1671309,XLI
JCI,Johnson Controls International plc,1.246076,Building Products,3215156,XLI
PCAR,PACCAR Inc,1.186603,Machinery,1441596,XLI
TT,Trane Technologies plc,1.173509,Building Products,998542,XLI
FAST,Fastenal Company,1.110931,Trading Companies & Distributors,2390406,XLI
LUV,Southwest Airlines Co.,1.098145,Airlines,1974100,XLI
CMI,Cummins Inc.,1.082046,Machinery,638480,XLI
TDG,TransDigm Group Incorporated,1.032248,Aerospace & Defense,207577,XLI
RSG,Republic Services Inc.,0.959362,Commercial Services & Supplies,877923,XLI
ROK,Rockwell Automation Inc.,0.958541,Electrical Equipment,481616,XLI
AME,AMETEK Inc.,0.91468,Electrical Equipment,952790,XLI
CTAS,Cintas Corporation,0.904973,Commercial Services & Supplies,349378,XLI
DAL,Delta Air Lines Inc.,0.879143,Airlines,2399061,XLI
EFX,Equifax Inc.,0.87072,Professional Services,504649,XLI
PH,Parker-Hannifin Corporation,0.861524,Machinery,535453,XLI
FTV,Fortive Corp.,0.853311,Machinery,1231630,XLI
CPRT,Copart Inc.,0.826539,Commercial Services & Supplies,852628,XLI
ODFL,Old Dominion Freight Line Inc.,0.7544,Road & Rail,266166,XLI
SWK,Stanley Black & Decker Inc.,0.75254,Machinery,633493,XLI
XYL,Xylem Inc.,0.701109,Machinery,750564,XLI
KSU,Kansas City Southern,0.685018,Road & Rail,413132,XLI
EXPD,Expeditors International of Washington Inc.,0.653908,Air Freight & Logistics,709809,XLI
DOV,Dover Corporation,0.652843,Machinery,605558,XLI
GWW,W.W. Grainger Inc.,0.628087,Trading Companies & Distributors,181795,XLI
IEX,IDEX Corporation,0.599577,Machinery,317100,XLI
CHRW,C.H. Robinson Worldwide Inc.,0.587947,Air Freight & Logistics,563731,XLI
J,Jacobs Engineering Group Inc.,0.58681,Construction & Engineering,564695,XLI
MAS,Masco Corporation,0.537594,Building Products,1184059,XLI
WAB,Westinghouse Air Brake Technologies Corporation,0.514776,Machinery,758901,XLI
ALLE,Allegion PLC,0.502007,Building Products,387269,XLI
